Categoria,Referencia_Local,Valor,Montaje,Cantidad
MCU,MCU_RP2350,RP2350,THT,1
ADC,U_ADC,PCM1808,SMD,1
DAC,U_DAC,PCM5102A,SMD,1
OPAMP,U1_TL072,TL072,THT,1
OPAMP,U2_NE5532,NE5532,THT,1
OPAMP,U3_NJM4556A,NJM4556A,THT,1
IC,U4_LT1054,LT1054,THT,1
LDO,U5_AP2112K,AP2112K,SMD,1
IC,U6_BUCK,Buck_StepDown_5V,THT,1
IC,U7_HC14_A,74HC14,THT,1
IC,U7_HC14_B,74HC14,THT,1
IC,U8_HEF4053BT,HEF4053BT,SMD,1
RELE,K1_G5V1,G5V-1,THT,1
RELE,K2_G5V1,G5V-1,THT,1
JACK,JACK_IN_L,Jack_6.35mm,THT,1
JACK,JACK_IN_R,Jack_6.35mm,THT,1
JACK,JACK_OUT_L,Jack_6.35mm,THT,1
JACK,JACK_OUT_R,Jack_6.35mm,THT,1
JACK,JACK_HP,Jack_6.35mm,THT,1
JACK,JACK_DC,JACK_DC,THT,1
IC,Q1_2N3904,2N3904,THT,1
IC,Q2_IRLML6401,IRLML6401,SMD,1
DIODO,D1_1N4148,1N4148,THT,1
DIODO,D2_1N4148,1N4148,THT,1
TVS,TVS_IN_L,P6KE18CA,THT,1
TVS,TVS_IN_R,P6KE18CA,THT,1
TVS,TVS_OUT_L,P6KE12CA,THT,1
TVS,TVS_OUT_R,P6KE12CA,THT,1
TVS,TVS_HP,P6KE12CA,THT,1
TVS,TVS_USB,CDSOD323-T05LC,SMD,1
TVS,TVS_DC,SMAJ15A,SMD,1
IC,LED_NEOPIXEL,WS2812B,SMD,8
IC,OLED_SSD1306,SSD1306,THT,1
ENCODER,EC11,EC11,THT,4
IC,FS_SW,SW_SPST,THT,4
RESISTOR,R_1k,1k,THT,12
RESISTOR,R_10k,10k,THT,20
RESISTOR,C_100n,100nF,THT,20
IC,74HC14,74HC14,THT,2
RESISTOR,R1_DIV,15k,THT,2
RESISTOR,R2_DIV,4.7k,THT,2
RESISTOR,R_fb,470k,THT,2
RESISTOR,R_iso,100,THT,2
RESISTOR,R_iso_HP,22,THT,1
RESISTOR,R_mix,10k,THT,2
RESISTOR,R_base,1k,THT,2
RESISTOR,R_pulldown_bypass,100k,THT,1
RESISTOR,R_boost,20k,THT,1
RESISTOR,R_data_neo,470,THT,1
POTENCIOMETRO,POT_MASTER,10k,THT,1
POTENCIOMETRO,POT_EXPR,100k,THT,1
RESISTOR,R_PTC,PTC_500mA,THT,2
CAPACITOR,C_in,10uF,THT,2
CAPACITOR,C_in_byp,100nF,THT,2
CAPACITOR,C_alias,1nF,THT,2
CAPACITOR,C_block_ADC,10uF,THT,2
CAPACITOR,C_out,10uF,THT,2
CAPACITOR,C_hp,10uF,THT,1
CAPACITOR,C_pump_LT,10uF,THT,1
CAPACITOR,C_chgpump,2.2uF,THT,1
CAPACITOR,C_esd,47pF,THT,5
CAPACITOR,C_vref_adc,10uF,THT,1
CAPACITOR,C_vcom_adc,10uF,THT,1
CAPACITOR,C_vref_adc_byp,100nF,THT,1
CAPACITOR,C_vcom_adc_byp,100nF,THT,1
CAPACITOR,C_bp_ap2112,10nF,THT,1
CAPACITOR,C_out_ap2112,4.7uF,THT,1
CAPACITOR,C_deb,100nF,THT,16
CAPACITOR,C_neo_bulk,100uF,THT,1
CAPACITOR,C_dec_9v,10uF,THT,2
CAPACITOR,C_dec_5v,10uF,THT,2
CAPACITOR,C_dec_3v3,10uF,THT,2
CAPACITOR,C_dec_ic,100nF,THT,12
INDUCTOR,L1_4u7,4.7uH,THT,1
INDUCTOR,FB_BLM18,BLM18,SMD,6
