Categoria,Referencia_Local,Valor,Montaje,Cantidad,LCSC,Footprint_JLC,Z_Height
MCU,MCU_RP2350,RP2350,THT,1,9900174306,LCC-23_18x23.5mm,N/A
ADC,U_ADC,PCM1808,SMD,1,1557166,TSSOP-14,N/A
DAC,U_DAC,PCM5102A,SMD,1,9900003814,TSSOP-20,N/A
OPAMP,U1_TL072,TL072,THT,1,529228,DIP-8,N/A
OPAMP,U2_NE5532,NE5532,THT,1,5274829,DIP-8,N/A
OPAMP,U3_NJM4556A,NJM4556A,THT,1,2838125,DIP-8,N/A
IC,U4_LT1054,LT1054,THT,1,662001,PDIP-8,N/A
LDO,U5_AP2112K,AP2112K,SMD,1,460310,SOT-25,N/A
IC,U6_BUCK,Buck_StepDown_5V,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
IC,U7_HC14_A,74HC14,THT,1,2974582,DIP-14,N/A
IC,U7_HC14_B,74HC14,THT,1,2974582,DIP-14,N/A
IC,U8_HEF4053BT,HEF4053BT,SMD,1,52261128,SOP-16,N/A
RELE,K1_G5V1,G5V-1,THT,1,231375,"DIP,12.5x7.5mm",N/A
RELE,K2_G5V1,G5V-1,THT,1,231375,"DIP,12.5x7.5mm",N/A
JACK,JACK_IN_L,Jack_6.35mm,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
JACK,JACK_IN_R,Jack_6.35mm,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
JACK,JACK_OUT_L,Jack_6.35mm,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
JACK,JACK_OUT_R,Jack_6.35mm,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
JACK,JACK_HP,Jack_6.35mm,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
JACK,JACK_DC,JACK_DC,THT,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
IC,Q1_2N3904,2N3904,THT,1,118538,TO-92,N/A
IC,Q2_IRLML6401,IRLML6401,SMD,1,236925,SOT-23,N/A
DIODO,D1_1N4148,1N4148,THT,1,13769,DO-35,N/A
DIODO,D2_1N4148,1N4148,THT,1,13769,DO-35,N/A
TVS,TVS_IN_L,P6KE18CA,THT,1,8926,DO-15,N/A
TVS,TVS_IN_R,P6KE18CA,THT,1,8926,DO-15,N/A
TVS,TVS_OUT_L,P6KE12CA,THT,1,8925,DO-15,N/A
TVS,TVS_OUT_R,P6KE12CA,THT,1,8925,DO-15,N/A
TVS,TVS_HP,P6KE12CA,THT,1,8925,DO-15,N/A
TVS,TVS_USB,CDSOD323-T05LC,SMD,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
TVS,TVS_DC,SMAJ15A,SMD,1,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
IC,LED_NEOPIXEL,WS2812B,SMD,8,9900004137,LED-4_5050,N/A
IC,OLED_SSD1306,SSD1306,THT,1,9900039960,直插，P=2.54mm,N/A
ENCODER,EC11,EC11,THT,4,9900016620,插件,N/A
IC,FS_SW,SW_SPST,THT,4,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_1k,1k,THT,12,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,R_10k,10k,THT,20,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
RESISTOR,C_100n,100nF,THT,20,NOT_FOUND,MANUAL_REQUIRED,MANUAL_REQUIRED
IC,74HC14,74HC14,THT,2,2974582,DIP-14,N/A
RESISTOR,R1_DIV,15k,THT,2,9900077251,DIV30x2.5_SMT,N/A
RESISTOR,R2_DIV,4.7k,THT,2,9900077251,DIV30x2.5_SMT,N/A
